"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","206185.56","0.030","0.008","0.031","0.047","0.063","0.535"
"PING_MBULK","190839.70","0.033","0.008","0.031","0.055","0.079","1.111"
"SET","179856.11","0.035","0.008","0.031","0.063","0.095","3.263"
"GET","191938.56","0.032","0.008","0.031","0.055","0.079","4.287"
"INCR","202020.20","0.031","0.008","0.031","0.047","0.071","1.303"
"LPUSH","204918.03","0.037","0.008","0.039","0.063","0.079","2.519"
"RPUSH","205761.31","0.030","0.008","0.031","0.047","0.063","1.687"
"LPOP","213675.22","0.036","0.008","0.039","0.055","0.079","0.319"
"RPOP","215517.25","0.029","0.008","0.031","0.047","0.055","0.399"
"SADD","216919.73","0.028","0.008","0.031","0.047","0.055","0.519"
"HSET","223214.28","0.027","0.008","0.031","0.039","0.047","0.319"
"SPOP","198019.80","0.031","0.008","0.031","0.055","0.071","0.287"
"ZADD","214592.28","0.029","0.008","0.031","0.047","0.063","0.247"
"ZPOPMIN","218340.61","0.028","0.008","0.031","0.047","0.055","0.279"
"LPUSH (needed to benchmark LRANGE)","221729.48","0.034","0.008","0.039","0.055","0.071","0.295"
"LRANGE_100 (first 100 elements)","31308.70","0.137","0.024","0.135","0.215","0.287","1.207"
"LRANGE_300 (first 300 elements)","14515.90","0.193","0.064","0.183","0.263","0.431","19.551"
"LRANGE_500 (first 500 elements)","11465.26","0.160","0.080","0.151","0.207","0.303","12.007"
"LRANGE_600 (first 600 elements)","9273.86","0.183","0.000","0.167","0.263","0.415","13.487"
"MSET (10 keys)","150602.42","0.040","0.008","0.039","0.063","0.079","1.343"
"XADD","187265.92","0.035","0.008","0.031","0.063","0.087","2.623"
