"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","212765.95","0.242","0.088","0.231","0.351","0.455","1.127"
"PING_MBULK","193423.59","0.266","0.072","0.247","0.391","0.447","0.759"
"SET","217864.92","0.236","0.080","0.231","0.279","0.383","0.799"
"GET","210084.03","0.245","0.064","0.239","0.343","0.455","0.855"
"INCR","215053.77","0.240","0.120","0.231","0.335","0.439","0.775"
"LPUSH","218340.61","0.300","0.072","0.271","0.479","0.615","1.663"
"RPUSH","201612.91","0.257","0.080","0.239","0.359","0.463","1.191"
"LPOP","212765.95","0.288","0.072","0.263","0.455","0.575","1.351"
"RPOP","195312.48","0.266","0.072","0.255","0.367","0.495","1.343"
"SADD","222222.23","0.231","0.064","0.231","0.271","0.327","0.719"
"HSET","178571.42","0.293","0.096","0.271","0.407","0.575","2.615"
"SPOP","170940.17","0.305","0.080","0.311","0.407","0.551","2.687"
"ZADD","167504.19","0.310","0.096","0.319","0.399","0.455","1.615"
"ZPOPMIN","166666.66","0.313","0.072","0.311","0.423","0.599","3.463"
"LPUSH (needed to benchmark LRANGE)","186219.73","0.346","0.080","0.319","0.543","0.815","4.607"
"LRANGE_100 (first 100 elements)","34071.55","1.254","0.560","1.191","1.767","2.215","17.215"
"LRANGE_300 (first 300 elements)","14374.01","1.599","0.496","1.543","2.439","3.167","10.199"
"LRANGE_500 (first 500 elements)","6321.51","2.439","0.552","2.239","3.975","6.367","46.015"
"LRANGE_600 (first 600 elements)","5974.07","2.198","0.664","2.039","3.551","4.487","15.111"
"MSET (10 keys)","138696.25","0.375","0.056","0.351","0.527","0.695","3.183"
"XADD","173010.38","0.308","0.080","0.295","0.447","0.719","2.511"
