"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","218818.39","0.120","0.032","0.119","0.159","0.215","0.903"
"PING_MBULK","227790.42","0.114","0.024","0.119","0.143","0.159","0.511"
"SET","218818.39","0.120","0.040","0.119","0.159","0.207","0.559"
"GET","212314.23","0.123","0.032","0.127","0.151","0.191","0.591"
"INCR","216450.20","0.122","0.024","0.119","0.167","0.215","1.495"
"LPUSH","217864.92","0.166","0.056","0.159","0.255","0.343","1.383"
"RPUSH","205338.81","0.130","0.032","0.127","0.183","0.231","1.239"
"LPOP","229885.06","0.148","0.040","0.143","0.223","0.263","0.703"
"RPOP","182481.77","0.148","0.040","0.135","0.215","0.279","3.023"
"SADD","186567.16","0.144","0.056","0.127","0.215","0.327","1.583"
"HSET","175746.92","0.152","0.040","0.151","0.207","0.247","0.383"
"SPOP","184162.06","0.146","0.056","0.143","0.207","0.255","0.799"
"ZADD","174825.17","0.156","0.024","0.151","0.223","0.399","2.311"
"ZPOPMIN","221729.48","0.118","0.040","0.119","0.167","0.207","0.511"
"LPUSH (needed to benchmark LRANGE)","212314.23","0.161","0.048","0.151","0.255","0.487","1.871"
"LRANGE_100 (first 100 elements)","36456.43","0.578","0.208","0.559","0.815","1.039","8.967"
"LRANGE_300 (first 300 elements)","16404.20","0.718","0.200","0.695","1.095","1.407","3.023"
"LRANGE_500 (first 500 elements)","7867.20","1.001","0.216","0.927","1.639","2.039","6.575"
"LRANGE_600 (first 600 elements)","7598.21","0.931","0.224","0.879","1.463","1.831","4.559"
"MSET (10 keys)","162074.56","0.162","0.024","0.159","0.231","0.295","2.079"
"XADD","216450.20","0.123","0.032","0.119","0.159","0.215","0.687"
