"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"LPUSH","203252.03","0.037","0.008","0.039","0.071","0.087","1.247"
"LPUSH (needed to benchmark LRANGE)","194552.53","0.038","0.008","0.039","0.071","0.095","0.255"
"LRANGE_100 (first 100 elements)","58616.65","0.089","0.024","0.087","0.127","0.191","1.455"
"LRANGE_300 (first 300 elements)","25056.38","0.198","0.040","0.199","0.287","0.407","5.071"
"LRANGE_500 (first 500 elements)","17268.18","0.281","0.064","0.279","0.415","0.631","4.007"
"LRANGE_600 (first 600 elements)","15566.63","0.312","0.056","0.303","0.463","0.711","11.319"
