"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"LPUSH","202839.75","0.037","0.008","0.039","0.071","0.087","0.255"
"LPUSH (needed to benchmark LRANGE)","206611.58","0.036","0.008","0.039","0.063","0.079","0.327"
"LRANGE_100 (first 100 elements)","58377.11","0.089","0.024","0.087","0.127","0.191","2.295"
"LRANGE_300 (first 300 elements)","25246.15","0.194","0.048","0.191","0.279","0.455","2.199"
"LRANGE_500 (first 500 elements)","18063.58","0.268","0.064","0.263","0.391","0.615","2.039"
"LRANGE_600 (first 600 elements)","15213.75","0.312","0.064","0.311","0.455","0.687","4.095"
