"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","22261.80","0.042","0.008","0.047","0.055","0.079","6.895"
"PING_MBULK","22737.61","0.042","0.008","0.047","0.055","0.071","0.671"
"SET","21829.29","0.044","0.008","0.047","0.055","0.063","2.319"
"GET","22497.19","0.043","0.008","0.047","0.047","0.055","2.127"
"INCR","23036.17","0.042","0.008","0.047","0.055","0.063","0.327"
"LPUSH","21213.41","0.044","0.008","0.047","0.055","0.071","1.463"
"RPUSH","22138.59","0.043","0.008","0.047","0.055","0.079","2.135"
"LPOP","20920.50","0.045","0.008","0.047","0.055","0.079","2.695"
"RPOP","22016.73","0.043","0.008","0.047","0.055","0.071","2.015"
"SADD","22909.51","0.042","0.008","0.047","0.055","0.071","2.455"
"HSET","22763.49","0.042","0.008","0.047","0.055","0.071","0.895"
"SPOP","22148.39","0.043","0.008","0.047","0.055","0.055","0.439"
"ZADD","21588.95","0.044","0.008","0.047","0.055","0.071","2.807"
"ZPOPMIN","21777.00","0.044","0.016","0.047","0.047","0.055","2.127"
"LPUSH (needed to benchmark LRANGE)","20354.16","0.046","0.008","0.047","0.055","0.071","2.271"
"LRANGE_100 (first 100 elements)","11641.44","0.051","0.024","0.055","0.063","0.071","1.919"
"LRANGE_300 (first 300 elements)","7136.23","0.059","0.032","0.063","0.071","0.079","1.167"
"LRANGE_500 (first 500 elements)","5426.52","0.065","0.032","0.063","0.079","0.087","12.807"
"LRANGE_600 (first 600 elements)","4852.01","0.069","0.040","0.071","0.079","0.087","1.119"
"MSET (10 keys)","20986.36","0.045","0.016","0.047","0.055","0.063","1.911"
"XADD","22114.11","0.043","0.008","0.047","0.055","0.071","4.743"
