"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","219298.25","0.120","0.024","0.119","0.159","0.215","0.679"
"PING_MBULK","216919.73","0.120","0.024","0.119","0.167","0.215","1.847"
"SET","224215.23","0.117","0.048","0.119","0.143","0.199","0.511"
"GET","194174.77","0.137","0.024","0.127","0.199","0.279","0.991"
"INCR","193798.45","0.137","0.040","0.127","0.199","0.255","1.399"
"LPUSH","199600.80","0.175","0.064","0.167","0.271","0.383","2.191"
"RPUSH","179211.45","0.153","0.040","0.143","0.223","0.279","4.855"
"LPOP","204498.98","0.171","0.040","0.167","0.271","0.359","1.391"
"RPOP","177304.97","0.152","0.032","0.151","0.215","0.255","0.511"
"SADD","168350.17","0.161","0.032","0.167","0.223","0.287","1.071"
"HSET","199203.20","0.134","0.040","0.127","0.199","0.239","0.471"
"SPOP","180180.17","0.147","0.024","0.143","0.207","0.255","0.735"
"ZADD","208333.34","0.128","0.040","0.119","0.199","0.247","0.751"
"ZPOPMIN","222717.16","0.118","0.032","0.119","0.159","0.231","0.543"
"LPUSH (needed to benchmark LRANGE)","213219.61","0.152","0.064","0.143","0.239","0.311","0.639"
"LRANGE_100 (first 100 elements)","37230.08","0.569","0.192","0.543","0.871","1.111","2.319"
"LRANGE_300 (first 300 elements)","15288.18","0.786","0.224","0.751","1.231","1.535","5.167"
"LRANGE_500 (first 500 elements)","8607.33","0.947","0.320","0.895","1.487","1.831","8.239"
"LRANGE_600 (first 600 elements)","7204.09","1.022","0.248","0.967","1.639","2.047","5.447"
"MSET (10 keys)","147058.83","0.179","0.016","0.167","0.255","0.327","2.047"
"XADD","203252.03","0.131","0.032","0.127","0.191","0.239","1.527"
