"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","204918.03","0.030","0.008","0.031","0.047","0.063","0.303"
"PING_MBULK","213219.61","0.029","0.008","0.031","0.047","0.055","0.319"
"SET","201612.91","0.031","0.008","0.031","0.047","0.063","3.271"
"GET","208333.34","0.030","0.008","0.031","0.047","0.063","0.599"
"INCR","210970.47","0.029","0.008","0.031","0.047","0.063","0.503"
"LPUSH","210084.03","0.037","0.008","0.039","0.063","0.079","1.127"
"RPUSH","194552.53","0.032","0.008","0.031","0.055","0.071","0.591"
"LPOP","210526.31","0.037","0.008","0.039","0.063","0.079","0.511"
"RPOP","212765.95","0.029","0.008","0.031","0.047","0.063","0.335"
"SADD","204081.62","0.030","0.008","0.031","0.047","0.087","7.839"
"HSET","208333.34","0.030","0.008","0.031","0.047","0.071","0.199"
"SPOP","194931.77","0.032","0.008","0.031","0.055","0.079","0.319"
"ZADD","186567.16","0.034","0.008","0.031","0.063","0.103","2.151"
"ZPOPMIN","188323.91","0.033","0.008","0.031","0.063","0.087","3.615"
"LPUSH (needed to benchmark LRANGE)","221729.48","0.034","0.008","0.039","0.055","0.071","0.215"
"LRANGE_100 (first 100 elements)","29577.05","0.146","0.032","0.143","0.231","0.343","0.951"
"LRANGE_300 (first 300 elements)","15413.07","0.178","0.064","0.175","0.247","0.399","12.599"
"LRANGE_500 (first 500 elements)","11304.54","0.162","0.080","0.159","0.223","0.327","1.223"
"LRANGE_600 (first 600 elements)","10009.01","0.169","0.088","0.167","0.223","0.351","3.191"
"MSET (10 keys)","160513.64","0.038","0.016","0.039","0.055","0.071","0.359"
"XADD","211416.50","0.030","0.008","0.031","0.047","0.071","0.455"
