"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","210526.31","0.125","0.024","0.119","0.183","0.215","0.431"
"PING_MBULK","219780.22","0.119","0.040","0.119","0.175","0.207","0.319"
"SET","222717.16","0.118","0.040","0.119","0.151","0.191","0.335"
"GET","223214.28","0.118","0.032","0.119","0.143","0.175","0.591"
"INCR","219298.25","0.120","0.040","0.119","0.167","0.207","0.351"
"LPUSH","236406.61","0.155","0.056","0.151","0.231","0.263","1.591"
"RPUSH","220264.31","0.120","0.032","0.119","0.151","0.191","1.647"
"LPOP","227272.73","0.148","0.032","0.143","0.223","0.263","0.903"
"RPOP","217391.30","0.121","0.056","0.119","0.143","0.183","1.143"
"SADD","227790.42","0.115","0.032","0.119","0.143","0.183","0.343"
"HSET","215982.72","0.122","0.048","0.119","0.175","0.199","0.375"
"SPOP","200803.22","0.131","0.040","0.119","0.191","0.239","0.959"
"ZADD","224215.23","0.117","0.040","0.119","0.151","0.191","0.359"
"ZPOPMIN","215053.77","0.122","0.024","0.119","0.175","0.207","1.695"
"LPUSH (needed to benchmark LRANGE)","235849.06","0.146","0.064","0.143","0.215","0.255","0.487"
"LRANGE_100 (first 100 elements)","40306.33","0.522","0.184","0.519","0.623","0.743","1.551"
"LRANGE_300 (first 300 elements)","16594.76","0.718","0.200","0.703","1.039","1.319","3.383"
"LRANGE_500 (first 500 elements)","9082.65","0.860","0.216","0.831","1.263","1.519","3.247"
"LRANGE_600 (first 600 elements)","7543.75","0.898","0.288","0.871","1.327","1.599","3.551"
"MSET (10 keys)","152905.20","0.171","0.040","0.167","0.247","0.287","0.399"
"XADD","210084.03","0.129","0.040","0.119","0.191","0.295","3.023"
