"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","149700.61","0.357","0.144","0.319","0.567","1.599","5.679"
"PING_MBULK","169204.73","0.306","0.064","0.311","0.399","0.455","2.207"
"SET","207468.88","0.248","0.056","0.231","0.351","0.423","0.783"
"GET","191204.59","0.268","0.072","0.255","0.375","0.439","0.999"
"INCR","197238.64","0.260","0.080","0.247","0.375","0.447","0.679"
"LPUSH","208768.27","0.320","0.072","0.303","0.503","0.647","1.863"
"RPUSH","201612.91","0.257","0.072","0.239","0.367","0.447","1.559"
"LPOP","215982.72","0.267","0.080","0.255","0.383","0.479","0.743"
"RPOP","191570.88","0.271","0.088","0.247","0.367","0.479","9.055"
"SADD","213219.61","0.241","0.056","0.231","0.343","0.399","0.687"
"HSET","214592.28","0.240","0.088","0.231","0.327","0.399","0.791"
"SPOP","209205.03","0.245","0.056","0.231","0.359","0.431","0.791"
"ZADD","206185.56","0.250","0.064","0.231","0.367","0.439","1.911"
"ZPOPMIN","184842.88","0.283","0.056","0.247","0.415","0.903","2.695"
"LPUSH (needed to benchmark LRANGE)","198019.80","0.321","0.080","0.311","0.495","0.591","0.887"
"LRANGE_100 (first 100 elements)","41067.76","1.036","0.600","1.023","1.303","1.567","3.599"
"LRANGE_300 (first 300 elements)","14841.20","1.550","0.528","1.511","2.295","2.903","6.599"
"LRANGE_500 (first 500 elements)","7713.07","2.000","0.536","1.927","3.063","3.703","9.951"
"LRANGE_600 (first 600 elements)","6193.10","2.378","0.600","2.303","3.639","4.375","9.791"
"MSET (10 keys)","152905.20","0.334","0.080","0.319","0.463","0.535","0.727"
"XADD","214592.28","0.239","0.080","0.231","0.343","0.383","0.591"
