"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","166112.95","1.516","0.568","1.263","2.559","3.567","7.287"
"PING_MBULK","145348.83","1.730","0.552","1.719","2.399","3.399","6.559"
"SET","155521.00","1.610","0.304","1.615","2.239","2.903","5.783"
"GET","190476.20","1.315","0.448","1.239","1.871","2.311","5.703"
"INCR","190839.70","1.313","0.480","1.215","1.935","2.375","5.495"
"LPUSH","201207.23","1.276","0.392","1.175","1.775","2.263","5.807"
"RPUSH","194552.53","1.296","0.424","1.191","1.871","2.695","6.167"
"LPOP","195694.72","1.306","0.400","1.183","1.807","2.375","6.063"
"RPOP","158478.61","1.587","0.624","1.551","2.127","2.695","6.215"
"SADD","172711.58","1.457","0.424","1.359","2.063","2.639","4.631"
"HSET","185873.61","1.348","0.344","1.199","1.991","3.751","6.599"
"SPOP","189035.92","1.327","0.448","1.215","1.927","2.463","6.287"
"ZADD","171821.30","1.469","0.368","1.303","2.207","3.543","5.679"
"ZPOPMIN","194174.77","1.292","0.224","1.215","1.887","2.871","6.967"
"LPUSH (needed to benchmark LRANGE)","175746.92","1.511","0.384","1.519","2.039","2.759","6.847"
"LRANGE_100 (first 100 elements)","38066.23","5.611","4.064","5.479","6.951","8.111","25.119"
"LRANGE_300 (first 300 elements)","11471.84","9.876","3.280","9.463","15.031","21.007","55.071"
"LRANGE_500 (first 500 elements)","5826.49","12.031","3.616","11.647","17.663","21.519","53.439"
"LRANGE_600 (first 600 elements)","4875.91","12.974","4.168","12.183","20.111","25.007","77.055"
"MSET (10 keys)","144717.80","1.732","0.376","1.631","2.351","2.959","7.271"
"XADD","176991.16","1.420","0.440","1.263","2.095","3.103","5.743"
