"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","251889.16","0.203","0.072","0.199","0.263","0.343","0.591"
"PING_MBULK","254452.92","0.200","0.104","0.199","0.255","0.319","0.631"
"SET","247524.75","0.207","0.088","0.199","0.303","0.351","0.583"
"GET","246305.42","0.208","0.056","0.207","0.263","0.319","0.679"
"INCR","253164.55","0.202","0.056","0.199","0.247","0.311","0.559"
"LPUSH","273224.03","0.220","0.072","0.207","0.327","0.407","0.815"
"RPUSH","245700.25","0.211","0.080","0.199","0.295","0.383","1.463"
"LPOP","271002.72","0.208","0.064","0.199","0.295","0.391","0.671"
"RPOP","224215.23","0.231","0.112","0.215","0.319","0.375","0.759"
"SADD","242718.45","0.211","0.056","0.199","0.311","0.367","0.567"
"HSET","233644.86","0.220","0.048","0.207","0.319","0.367","0.503"
"SPOP","234192.05","0.222","0.048","0.199","0.327","0.447","3.039"
"ZADD","253164.55","0.203","0.080","0.199","0.279","0.335","0.575"
"ZPOPMIN","257069.41","0.198","0.072","0.191","0.255","0.351","0.743"
"LPUSH (needed to benchmark LRANGE)","269541.78","0.208","0.080","0.199","0.295","0.383","0.775"
"LRANGE_100 (first 100 elements)","44228.22","0.936","0.368","0.927","1.223","1.447","4.271"
"LRANGE_300 (first 300 elements)","14981.27","1.474","0.368","1.415","2.279","2.871","5.487"
"LRANGE_500 (first 500 elements)","7531.25","2.066","0.432","2.007","3.207","3.935","7.783"
"LRANGE_600 (first 600 elements)","6557.81","2.053","0.424","1.951","3.239","3.903","6.663"
"MSET (10 keys)","223713.64","0.242","0.072","0.207","0.375","0.519","1.111"
"XADD","250000.00","0.208","0.080","0.199","0.303","0.367","1.647"
