"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","248138.95","0.105","0.040","0.103","0.159","0.191","0.351"
"PING_MBULK","248138.95","0.105","0.040","0.103","0.159","0.183","0.471"
"SET","204081.62","0.130","0.056","0.119","0.183","0.239","1.959"
"GET","243902.44","0.107","0.024","0.103","0.159","0.191","0.471"
"INCR","257069.41","0.102","0.032","0.103","0.143","0.175","0.391"
"LPUSH","263157.91","0.128","0.040","0.127","0.191","0.239","1.535"
"RPUSH","248756.22","0.106","0.024","0.103","0.159","0.191","0.735"
"LPOP","231481.47","0.145","0.032","0.135","0.239","0.303","0.799"
"RPOP","210526.31","0.128","0.040","0.119","0.191","0.223","0.519"
"SADD","219780.22","0.121","0.024","0.111","0.183","0.231","1.911"
"HSET","245700.25","0.107","0.024","0.103","0.159","0.191","0.303"
"SPOP","259067.36","0.101","0.040","0.103","0.143","0.175","0.335"
"ZADD","256410.27","0.103","0.024","0.103","0.151","0.183","0.295"
"ZPOPMIN","268096.53","0.097","0.032","0.095","0.127","0.159","0.351"
"LPUSH (needed to benchmark LRANGE)","235849.06","0.146","0.040","0.143","0.231","0.287","3.135"
"LRANGE_100 (first 100 elements)","41858.52","0.491","0.128","0.487","0.663","0.815","1.247"
"LRANGE_300 (first 300 elements)","15772.87","0.720","0.136","0.695","1.135","1.431","4.847"
"LRANGE_500 (first 500 elements)","8564.58","0.881","0.144","0.847","1.359","1.663","3.903"
"LRANGE_600 (first 600 elements)","7128.60","0.993","0.200","0.951","1.583","1.927","6.311"
"MSET (10 keys)","211864.41","0.129","0.032","0.119","0.183","0.215","0.351"
"XADD","208333.34","0.131","0.048","0.127","0.191","0.239","0.799"
