"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","200803.22","1.249","0.560","1.063","2.047","2.967","5.239"
"PING_MBULK","219780.22","1.140","0.408","1.023","1.799","2.919","4.639"
"SET","201612.91","1.245","0.448","1.119","1.751","2.103","3.959"
"GET","175131.36","1.448","0.592","1.367","2.311","3.239","7.383"
"INCR","206185.56","1.221","0.632","1.055","1.839","2.599","6.247"
"LPUSH","204918.03","1.265","0.384","1.119","1.855","2.351","3.455"
"RPUSH","170648.45","1.473","0.456","1.399","2.399","3.039","4.087"
"LPOP","228310.50","1.135","0.480","0.975","1.767","2.575","4.095"
"RPOP","222717.16","1.130","0.408","1.023","1.847","2.463","4.487"
"SADD","220750.55","1.137","0.488","1.007","2.167","2.935","4.743"
"HSET","202429.16","1.239","0.392","1.015","2.199","2.743","4.407"
"SPOP","213675.22","1.177","0.352","0.999","2.039","2.991","4.687"
"ZADD","215053.77","1.166","0.440","1.023","1.975","2.999","4.527"
"ZPOPMIN","207039.33","1.211","0.312","1.039","1.975","2.991","4.703"
"LPUSH (needed to benchmark LRANGE)","206185.56","1.266","0.448","1.047","2.175","2.695","4.823"
"LRANGE_100 (first 100 elements)","37693.18","5.582","2.848","5.439","7.271","10.095","24.991"
"LRANGE_300 (first 300 elements)","11911.85","9.357","2.856","8.831","14.543","18.527","56.127"
"LRANGE_500 (first 500 elements)","6341.96","12.524","3.176","12.127","19.119","22.751","64.927"
"LRANGE_600 (first 600 elements)","5615.45","11.380","3.424","10.775","17.551","21.455","86.911"
"MSET (10 keys)","221729.48","1.146","0.448","1.039","1.663","2.319","4.855"
"XADD","222222.23","1.139","0.432","1.015","1.759","3.063","5.911"
